\bar{K}^{*}(892)^{0}K^{+}		2.61783		0.0448907		0.0680019
\phi(1020)\pi^{+}		2.26259		0.0534709		0.0603598
S(980)\pi^{+}		0.896291		0.0401527		0.111364
\bar{K}^{*}_{0}(1430)^{0}K^{+}		0.131165		0.0164924		0.0547409
f_{0}(1710)\pi^{+}		0.0601171		0.00552605		0.00564918
f_{0}(1370)\pi^{+}		0.0601171		0.00552605		0.0110235
